#Gene-ID,Chr,Strand,Start,End,Count,Length,RPKM,#-exons,#-expr-exons(>10 reads),Transcripts
Sputw3181_0001,Shewanella_W3_18_1_NC_008750_1,+,150,1535,3066,1385,118.95,1,1,dnaA
PNNL_EXON,Shewanella_W3_18_1_NC_008750_1,+,1545,1620,81,50,87.05,2,0,pnnl_splice_junction_for_LifeScope
Sputw3181_0002,Shewanella_W3_18_1_NC_008750_1,+,1556,2656,2077,1100,101.46,1,1,Sputw3181_0002
Sputw3181_0003,Shewanella_W3_18_1_NC_008750_1,+,2853,3935,658,1082,32.68,1,1,recF
Sputw3181_0004,Shewanella_W3_18_1_NC_008750_1,+,3952,6369,4334,2417,96.35,1,1,Sputw3181_0004
Sputw3181_0005,Shewanella_W3_18_1_NC_008750_1,+,6571,7617,539,1046,27.69,1,1,Sputw3181_0005
Sputw3181_0006,Shewanella_W3_18_1_NC_008750_1,-,7705,9774,1971,2069,51.19,1,1,glyS
Sputw3181_0007,Shewanella_W3_18_1_NC_008750_1,-,9785,10690,521,905,30.93,1,1,glyQ
Sputw3181_0008,Shewanella_W3_18_1_NC_008750_1,+,10808,11410,522,602,46.59,1,1,Sputw3181_0008
Sputw3181_0009,Shewanella_W3_18_1_NC_008750_1,-,11528,14716,1179,3188,19.87,1,1,Sputw3181_0009
Sputw3181_0010,Shewanella_W3_18_1_NC_008750_1,-,14938,15390,569,452,67.64,1,1,Sputw3181_0010
Sputw3181_0011,Shewanella_W3_18_1_NC_008750_1,-,15435,15680,42,245,9.21,1,1,Sputw3181_0011
Sputw3181_0012,Shewanella_W3_18_1_NC_008750_1,-,15911,17074,617,1163,28.51,1,1,fadA
Sputw3181_0013,Shewanella_W3_18_1_NC_008750_1,-,17097,19247,1163,2150,29.07,1,1,fadB
Sputw3181_0014,Shewanella_W3_18_1_NC_008750_1,+,19738,21060,1331,1322,54.1,1,1,Sputw3181_0014
Sputw3181_0015,Shewanella_W3_18_1_NC_008750_1,+,21088,21702,431,614,37.72,1,1,Sputw3181_0015
Sputw3181_0016,Shewanella_W3_18_1_NC_008750_1,+,21780,23237,910,1457,33.56,1,1,Sputw3181_0016
Sputw3181_0017,Shewanella_W3_18_1_NC_008750_1,+,23240,23764,339,524,34.76,1,1,Sputw3181_0017
Sputw3181_0018,Shewanella_W3_18_1_NC_008750_1,-,23815,24123,653,308,113.92,1,1,Sputw3181_0018
Sputw3181_0019,Shewanella_W3_18_1_NC_008750_1,+,24326,24880,293,554,28.42,1,1,Sputw3181_0019
Sputw3181_0020,Shewanella_W3_18_1_NC_008750_1,-,24920,26362,749,1442,27.91,1,1,Sputw3181_0020
Sputw3181_0021,Shewanella_W3_18_1_NC_008750_1,-,26383,27792,902,1409,34.4,1,1,trkA
Sputw3181_0022,Shewanella_W3_18_1_NC_008750_1,-,27808,29097,418,1289,17.43,1,1,Sputw3181_0022
Sputw3181_0023,Shewanella_W3_18_1_NC_008750_1,-,29100,30056,240,956,13.49,1,1,Sputw3181_0023
Sputw3181_0024,Shewanella_W3_18_1_NC_008750_1,-,30066,30578,385,512,40.41,1,1,def
Sputw3181_0025,Shewanella_W3_18_1_NC_008750_1,+,30704,31828,1925,1124,92.03,1,1,Sputw3181_0025
Sputw3181_0026,Shewanella_W3_18_1_NC_008750_1,+,31907,32929,1925,1022,101.21,1,1,Sputw3181_0026
Sputw3181_0027,Shewanella_W3_18_1_NC_008750_1,+,32932,33405,2413,473,274.12,1,1,Sputw3181_0027
Sputw3181_0028,Shewanella_W3_18_1_NC_008750_1,+,33519,34088,285,569,26.91,1,1,Sputw3181_0028
Sputw3181_0029,Shewanella_W3_18_1_NC_008750_1,+,34236,34802,352,566,33.42,1,1,Sputw3181_0029
Sputw3181_0030,Shewanella_W3_18_1_NC_008750_1,+,34828,35736,521,908,30.83,1,1,Sputw3181_0030
Sputw3181_0031,Shewanella_W3_18_1_NC_008750_1,-,35771,36208,96,437,11.8,1,1,Sputw3181_0031
Sputw3181_0032,Shewanella_W3_18_1_NC_008750_1,+,36350,37198,194,848,12.29,1,1,aroE
Sputw3181_0033,Shewanella_W3_18_1_NC_008750_1,+,37204,37479,70,275,13.68,1,1,Sputw3181_0033
Sputw3181_0034,Shewanella_W3_18_1_NC_008750_1,-,37613,38161,169,548,16.57,1,1,Sputw3181_0034
Sputw3181_R0001,Shewanella_W3_18_1_NC_008750_1,+,38735,40269,258775,1534,9064.59,1,1,Sputw3181_R0001
id1,Shewanella_W3_18_1_NC_008750_1,+,38735,40269,258775,1534,9064.59,1,0,rna0
Sputw3181_R0002,Shewanella_W3_18_1_NC_008750_1,+,40645,43537,6194,2892,115.09,1,1,Sputw3181_R0002
id2,Shewanella_W3_18_1_NC_008750_1,+,40645,43537,6194,2892,115.09,1,0,rna1
Sputw3181_R0003,Shewanella_W3_18_1_NC_008750_1,+,43712,43827,0,115,0,1,0,Sputw3181_R0003
id3,Shewanella_W3_18_1_NC_008750_1,+,43712,43827,0,115,0,1,0,rna2
Sputw3181_0035,Shewanella_W3_18_1_NC_008750_1,+,44067,46517,1930,2450,42.33,1,1,Sputw3181_0035
Sputw3181_0036,Shewanella_W3_18_1_NC_008750_1,-,46474,47457,289,983,15.8,1,1,Sputw3181_0036
Sputw3181_0037,Shewanella_W3_18_1_NC_008750_1,-,47553,49364,180,1811,5.34,1,1,Sputw3181_0037
Sputw3181_0038,Shewanella_W3_18_1_NC_008750_1,+,49575,50570,1274,995,68.8,1,1,Sputw3181_0038
Sputw3181_0039,Shewanella_W3_18_1_NC_008750_1,-,50667,52007,1171,1340,46.96,1,1,Sputw3181_0039
Sputw3181_0040,Shewanella_W3_18_1_NC_008750_1,-,52292,52759,196,467,22.55,1,1,Sputw3181_0040
Sputw3181_0041,Shewanella_W3_18_1_NC_008750_1,-,52829,53380,540,551,52.66,1,1,Sputw3181_0041
Sputw3181_0042,Shewanella_W3_18_1_NC_008750_1,-,53471,54109,220,638,18.53,1,1,Sputw3181_0042
Sputw3181_0043,Shewanella_W3_18_1_NC_008750_1,-,54928,55551,1615,623,139.3,1,1,Sputw3181_0043
Sputw3181_0044,Shewanella_W3_18_1_NC_008750_1,+,55721,56380,968,659,78.93,1,1,engB
Sputw3181_0045,Shewanella_W3_18_1_NC_008750_1,-,57192,59960,1009,2768,19.59,1,1,Sputw3181_0045
Sputw3181_0046,Shewanella_W3_18_1_NC_008750_1,+,60347,61009,627,662,50.89,1,1,Sputw3181_0046
Sputw3181_0047,Shewanella_W3_18_1_NC_008750_1,-,61096,61941,482,845,30.65,1,1,Sputw3181_0047
Sputw3181_0048,Shewanella_W3_18_1_NC_008750_1,-,61938,62243,100,305,17.62,1,1,Sputw3181_0048
Sputw3181_0049,Shewanella_W3_18_1_NC_008750_1,-,62354,63379,453,1025,23.75,1,1,tdh
