#Gene-ID,Chr,Strand,Start,End,Count,Length,RPKM,#-exons,#-expr-exons(>10 reads),Transcripts
Sputw3181_0001,Shewanella_W3_18_1_NC_008750_1,+,150,1535,80,1385,248.11,1,1,dnaA
PNNL_EXON,Shewanella_W3_18_1_NC_008750_1,+,1545,1620,0,50,0,2,0,pnnl_splice_junction_for_LifeScope
Sputw3181_0002,Shewanella_W3_18_1_NC_008750_1,+,1556,2656,70,1100,273.35,1,1,Sputw3181_0002
Sputw3181_0003,Shewanella_W3_18_1_NC_008750_1,+,2853,3935,24,1082,95.28,1,1,recF
Sputw3181_0004,Shewanella_W3_18_1_NC_008750_1,+,3952,6369,142,2417,252.36,1,1,Sputw3181_0004
Sputw3181_0005,Shewanella_W3_18_1_NC_008750_1,+,6571,7617,4,1046,16.43,1,0,Sputw3181_0005
Sputw3181_0006,Shewanella_W3_18_1_NC_008750_1,-,7705,9774,71,2069,147.4,1,1,glyS
Sputw3181_0007,Shewanella_W3_18_1_NC_008750_1,-,9785,10690,18,905,85.43,1,1,glyQ
Sputw3181_0008,Shewanella_W3_18_1_NC_008750_1,+,10808,11410,7,602,49.95,1,0,Sputw3181_0008
Sputw3181_0009,Shewanella_W3_18_1_NC_008750_1,-,11528,14716,13,3188,17.52,1,1,Sputw3181_0009
Sputw3181_0010,Shewanella_W3_18_1_NC_008750_1,-,14938,15390,5,452,47.52,1,0,Sputw3181_0010
Sputw3181_0011,Shewanella_W3_18_1_NC_008750_1,-,15435,15680,0,245,0,1,0,Sputw3181_0011
Sputw3181_0012,Shewanella_W3_18_1_NC_008750_1,-,15911,17074,108,1163,398.89,1,1,fadA
Sputw3181_0013,Shewanella_W3_18_1_NC_008750_1,-,17097,19247,259,2150,517.46,1,1,fadB
Sputw3181_0014,Shewanella_W3_18_1_NC_008750_1,+,19738,21060,29,1322,94.23,1,1,Sputw3181_0014
Sputw3181_0015,Shewanella_W3_18_1_NC_008750_1,+,21088,21702,3,614,20.99,1,0,Sputw3181_0015
Sputw3181_0016,Shewanella_W3_18_1_NC_008750_1,+,21780,23237,11,1457,32.43,1,1,Sputw3181_0016
Sputw3181_0017,Shewanella_W3_18_1_NC_008750_1,+,23240,23764,9,524,73.78,1,0,Sputw3181_0017
Sputw3181_0018,Shewanella_W3_18_1_NC_008750_1,-,23815,24123,7,308,97.62,1,0,Sputw3181_0018
Sputw3181_0019,Shewanella_W3_18_1_NC_008750_1,+,24326,24880,5,554,38.77,1,0,Sputw3181_0019
Sputw3181_0020,Shewanella_W3_18_1_NC_008750_1,-,24920,26362,14,1442,41.7,1,1,Sputw3181_0020
Sputw3181_0021,Shewanella_W3_18_1_NC_008750_1,-,26383,27792,13,1409,39.63,1,1,trkA
Sputw3181_0022,Shewanella_W3_18_1_NC_008750_1,-,27808,29097,9,1289,29.99,1,0,Sputw3181_0022
Sputw3181_0023,Shewanella_W3_18_1_NC_008750_1,-,29100,30056,6,956,26.96,1,0,Sputw3181_0023
Sputw3181_0024,Shewanella_W3_18_1_NC_008750_1,-,30066,30578,9,512,75.51,1,0,def
Sputw3181_0025,Shewanella_W3_18_1_NC_008750_1,+,30704,31828,18,1124,68.79,1,1,Sputw3181_0025
Sputw3181_0026,Shewanella_W3_18_1_NC_008750_1,+,31907,32929,31,1022,130.29,1,1,Sputw3181_0026
Sputw3181_0027,Shewanella_W3_18_1_NC_008750_1,+,32932,33405,22,473,199.79,1,1,Sputw3181_0027
Sputw3181_0028,Shewanella_W3_18_1_NC_008750_1,+,33519,34088,6,569,45.3,1,0,Sputw3181_0028
Sputw3181_0029,Shewanella_W3_18_1_NC_008750_1,+,34236,34802,9,566,68.3,1,0,Sputw3181_0029
Sputw3181_0030,Shewanella_W3_18_1_NC_008750_1,+,34828,35736,19,908,89.88,1,1,Sputw3181_0030
Sputw3181_0031,Shewanella_W3_18_1_NC_008750_1,-,35771,36208,2,437,19.66,1,0,Sputw3181_0031
Sputw3181_0032,Shewanella_W3_18_1_NC_008750_1,+,36350,37198,13,848,65.85,1,1,aroE
Sputw3181_0033,Shewanella_W3_18_1_NC_008750_1,+,37204,37479,2,275,31.24,1,0,Sputw3181_0033
Sputw3181_0034,Shewanella_W3_18_1_NC_008750_1,-,37613,38161,9,548,70.55,1,0,Sputw3181_0034
Sputw3181_R0001,Shewanella_W3_18_1_NC_008750_1,+,38735,40269,4225,1534,11830.76,1,1,Sputw3181_R0001
id1,Shewanella_W3_18_1_NC_008750_1,+,38735,40269,4225,1534,11830.76,1,0,rna0
Sputw3181_R0002,Shewanella_W3_18_1_NC_008750_1,+,40645,43537,211,2892,313.4,1,1,Sputw3181_R0002
id2,Shewanella_W3_18_1_NC_008750_1,+,40645,43537,211,2892,313.4,1,0,rna1
Sputw3181_R0003,Shewanella_W3_18_1_NC_008750_1,+,43712,43827,0,115,0,1,0,Sputw3181_R0003
id3,Shewanella_W3_18_1_NC_008750_1,+,43712,43827,0,115,0,1,0,rna2
Sputw3181_0035,Shewanella_W3_18_1_NC_008750_1,+,44067,46517,28,2450,49.09,1,1,Sputw3181_0035
Sputw3181_0036,Shewanella_W3_18_1_NC_008750_1,-,46474,47457,4,983,17.48,1,0,Sputw3181_0036
Sputw3181_0037,Shewanella_W3_18_1_NC_008750_1,-,47553,49364,3,1811,7.12,1,0,Sputw3181_0037
Sputw3181_0038,Shewanella_W3_18_1_NC_008750_1,+,49575,50570,25,995,107.93,1,1,Sputw3181_0038
Sputw3181_0039,Shewanella_W3_18_1_NC_008750_1,-,50667,52007,15,1340,48.08,1,1,Sputw3181_0039
Sputw3181_0040,Shewanella_W3_18_1_NC_008750_1,-,52292,52759,9,467,82.78,1,0,Sputw3181_0040
Sputw3181_0041,Shewanella_W3_18_1_NC_008750_1,-,52829,53380,23,551,179.3,1,1,Sputw3181_0041
Sputw3181_0042,Shewanella_W3_18_1_NC_008750_1,-,53471,54109,6,638,40.4,1,0,Sputw3181_0042
Sputw3181_0043,Shewanella_W3_18_1_NC_008750_1,-,54928,55551,49,623,337.85,1,1,Sputw3181_0043
Sputw3181_0044,Shewanella_W3_18_1_NC_008750_1,+,55721,56380,18,659,117.33,1,1,engB
Sputw3181_0045,Shewanella_W3_18_1_NC_008750_1,-,57192,59960,27,2768,41.9,1,1,Sputw3181_0045
Sputw3181_0046,Shewanella_W3_18_1_NC_008750_1,+,60347,61009,24,662,155.73,1,1,Sputw3181_0046
Sputw3181_0047,Shewanella_W3_18_1_NC_008750_1,-,61096,61941,15,845,76.25,1,1,Sputw3181_0047
Sputw3181_0048,Shewanella_W3_18_1_NC_008750_1,-,61938,62243,3,305,42.25,1,0,Sputw3181_0048
Sputw3181_0049,Shewanella_W3_18_1_NC_008750_1,-,62354,63379,7,1025,29.33,1,0,tdh
Sputw3181_0050,Shewanella_W3_18_1_NC_008750_1,-,63391,64584,18,1193,64.81,1,1,Sputw3181_0050
Sputw3181_0051,Shewanella_W3_18_1_NC_008750_1,-,64872,65519,4,647,26.56,1,0,Sputw3181_0051
Sputw3181_0052,Shewanella_W3_18_1_NC_008750_1,+,65662,66927,10,1265,33.96,1,0,Sputw3181_0052
Sputw3181_0053,Shewanella_W3_18_1_NC_008750_1,-,66978,67730,2,752,11.42,1,0,Sputw3181_0053
Sputw3181_0054,Shewanella_W3_18_1_NC_008750_1,+,67829,68872,18,1043,74.13,1,1,Sputw3181_0054
Sputw3181_0055,Shewanella_W3_18_1_NC_008750_1,+,68961,70046,11,1085,43.55,1,1,Sputw3181_0055
Sputw3181_0056,Shewanella_W3_18_1_NC_008750_1,+,70077,71156,13,1079,51.75,1,1,Sputw3181_0056
Sputw3181_0057,Shewanella_W3_18_1_NC_008750_1,+,71321,72280,6,959,26.87,1,0,Sputw3181_0057
Sputw3181_0058,Shewanella_W3_18_1_NC_008750_1,-,72561,73634,6,1073,24.02,1,0,Sputw3181_0058
