"","Lactate_CC","Shew_HL_HO2","C_lim_CC","FC.HLHO.div.C_Lim","FC.HLHO.div.C_Lim","FC.lact.div.HLHO","W3181","X","Genome.count","PMID","Product.Descriptor","GENE","Alias","Role","Regulated.by","Essentiality.Class.in.MR.1","FIG.Function","FIG.Subsystem","CAZY","family","Merops.family","cofactor..organic.","cofactor..inorganic","substrate","Transport.Family","EC.NUMBER","evolution","Genome.count.1","Localization","Group.ID"
"0001",159.384356653948,103.281248175681,198.574796911159,0.520112571092736,0.520112571092736,1.54320711135129,"W3181_0001",NA,22,"","chromosomal replication initiator protein DnaA","dnaA","","Cell division","","Expected Essential","Chromosomal replication initiator protein DnaA","Cell Division Subsystem including YidCD; <br>DNA-replication; <br>DNA replication cluster 1","","","","ATP","","","","","core",1,"cyt","Shw00008"
"EXON",117.512195160114,202.840649570256,0,1649.1109721159,1649.1109721159,0.579332571696448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0002",136.422203576685,107.003094956786,218.592417567526,0.489509636919276,0.489509636919276,1.27493698786731,"W3181_0002",NA,22,"","DNA polymerase III beta subunit DnaN","dnaN","","Cell division","","Expected Essential","DNA polymerase III beta subunit (EC 2.7.7.7)","Cell Division Subsystem including YidCD; <br>DNA-replication; <br>DNA replication cluster 1","","","","","","","","2.7.7.7","core",1,"cyt","Shw00009"
"0003",43.2228763807318,32.5661593346741,76.066958494194,0.428124904417729,0.428124904417729,1.32723284734135,"W3181_0003",NA,22,"","DNA replication and repair protein RecF","recF","","Cell division","","Dispensable","DNA recombination and repair protein RecF","Cell Division Subsystem including YidCD; <br>DNA repair bacterial RecFOR pathway; <br>DNA replication cluster 1; <br>Hypothetical Coupled to RecF","","","","ATP","","","","","core",1,"cyt","Shw00010"
"0004",129.668629142195,115.377250214274,201.777616216178,0.571804010662227,0.571804010662227,1.1238665239584,"W3181_0004",NA,22,"","DNA gyrase B subunit GyrB","gyrB","","Cell division","","Expected Essential","DNA gyrase subunit B (EC 5.99.1.3)","Cell Division Subsystem including YidCD; <br>DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases Type II ATP-dependent; <br>Resistance to fluoroquinolones","","","","ATP","","","","5.99.1.3","core",1,"cyt","Shw00011"
"0005",36.4693019462424,26.0529274677393,12.8112772200748,2.03359329598421,2.03359329598421,1.39981589368033,"W3181_0005",NA,20,"","metal-dependent phosphohydrolase","","","1CP - HDOD","","Dispensable","hypothetical protein","","","","","","metal","","","","no Sden PV4",1,"cyt","Shw00013"
"0006",68.8864592317912,68.8541654504539,117.703609459437,0.584979218281173,0.584979218281173,1.00046901710486,"W3181_0006",NA,22,"","glycyl-tRNA synthetase beta subunit GlyS","glyS","","tRNA charging","","Expected Essential","Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)","tRNA aminoacylation Gly","","","","ATP","","","","6.1.1.14","core",1,"cyt","Shw00014"
"0007",40.521446606936,37.2184678110562,68.0599102316473,0.546848617407519,0.546848617407519,1.0887456950847,"W3181_0007",NA,22,"","glycyl-tRNA synthetase alpha subunit GlyQ","glyQ","","tRNA charging","","Expected Essential","Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)","tRNA aminoacylation Gly","","","","ATP","","","","6.1.1.14","core",1,"cyt","Shw00015"
"0008",62.1328847973019,80.9501674890472,39.234536486479,2.06323751312684,2.06323751312684,0.767544857837492,"W3181_0008",NA,22,"","DNA-3-methyladenine glycosylase I Tag","tag","","DNA Repair Base Excision","","Unknown","DNA-3-methyladenine glycosylase (EC 3.2.2.20)","CBSS-326442.4.peg.1852; <br>DNA Repair Base Excision","","","","","","","","3.2.2.20","core",1,"cyt","Shw00016"
"0009",25.6635828510595,20.4701572960809,13.6119820463295,1.50383369787068,1.50383369787068,1.25370716403693,"W3181_0009",NA,22,"","bifunctional TolB-family protein/amidohydrolase","","","","","Dispensable","hypothetical protein","","","TolB","","","","","","","core",1,"peri","Shw00017"
"0010",90.4978974221571,379.628371672773,37.6331268339697,10.0876117296238,10.0876117296238,0.238385495329004,"W3181_0010",NA,20,"","MOSC domain protein","","","","","Dispensable","hypothetical protein","","","","","","","","","","no Sama Sben ",1,"cyt","Shw00018"
"0011",12.1564339820808,14.8873871244225,0,121.035667678231,121.035667678231,0.816559271313528,"W3181_0011",NA,22,"","tRNA 2-thiouridine synthesizing protein TusA","tusA","","","","Unknown","tRNA 5-methylaminomethyl-2-thiouridine synthase TusA","","","","","","","","","2.8.1.-","core",1,"cyt","Shw00019"
"0012",37.8200168331403,116.307711909551,318.68052084936,0.364966492459478,0.364966492459478,0.325172047598632,"W3181_0012",NA,22,"","aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA","fadA","","FA oxidation I","","Dispensable","3-ketoacyl-CoA thiolase (EC 2.3.1.16) & Acetyl-CoA acetyltransferase (EC 2.3.1.9)","Acetyl-CoA fermentation to Butyrate; <br>Biotin biosynthesis; <br>Butanol Biosynthesis; <br>Butyrate metabolism cluster; <br>CBSS-246196.1.peg.364; <br>Isoleucine degradation; <br>Isoprenoid Biosynthesis; <br>Polyhydroxybutyrate metabolism; <br>Polyhydroxybutyrate metabolism; <br>Serine-glyoxylate cycle; <br>Serine-glyoxylate cycle","","","","","","","","2.3.1.16","core",1,"cyt","Shw00020"
